"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","MYM-135: Update communication channels","chromium","2026-08-22","skipped","2026-08-22","MYM-28 API Integration Tests @regression","integration/mym-28-api.spec.ts","",""
"","0","MYM-135: Update communication channels","firefox","2026-08-22","skipped","2026-08-22","MYM-28 API Integration Tests @regression","integration/mym-28-api.spec.ts","",""
"","1","MYM-134: Get upcoming bookings","chromium","2026-08-22","skipped","2026-08-22","MYM-28 API Integration Tests @regression","integration/mym-28-api.spec.ts","",""
"","3100","should login successfully as Mentor @happy-path @smoke @regression","firefox","2026-08-22","passed","2026-08-22","Login Functionality","e2e/auth/login.spec.ts","",""
"","0","MYM-136: Cancel booking (Negative/Mocked)","chromium","2026-08-22","skipped","2026-08-22","MYM-28 API Integration Tests @regression","integration/mym-28-api.spec.ts","",""
"","3812","MYM-30: Mentor configures communication channels @smoke @regression","firefox","2026-08-22","passed","2026-08-22","EPIC MYM-28: Session Management","mym-28-session-management.spec.ts","",""
"","4762","should login successfully as Mentor @happy-path @smoke @regression","chromium","2026-08-22","passed","2026-08-22","Login Functionality","e2e/auth/login.spec.ts","",""
"","2498","MYM-29: User views session dashboard (Empty State) @smoke @regression","firefox","2026-08-22","passed","2026-08-22","EPIC MYM-28: Session Management","mym-28-session-management.spec.ts","",""
"","0","MYM-136: Cancel booking (Negative/Mocked)","firefox","2026-08-22","skipped","2026-08-22","MYM-28 API Integration Tests @regression","integration/mym-28-api.spec.ts","",""
"","1","MYM-134: Get upcoming bookings","firefox","2026-08-22","skipped","2026-08-22","MYM-28 API Integration Tests @regression","integration/mym-28-api.spec.ts","",""
"","2614","should login successfully as Mentee @happy-path @smoke @regression","firefox","2026-08-22","passed","2026-08-22","Login Functionality","e2e/auth/login.spec.ts","",""
"","2312","should login successfully as Mentee @happy-path @smoke @regression","chromium","2026-08-22","passed","2026-08-22","Login Functionality","e2e/auth/login.spec.ts","",""
"","2313","MYM-29: User views session dashboard (Empty State) @smoke @regression","chromium","2026-08-22","passed","2026-08-22","EPIC MYM-28: Session Management","mym-28-session-management.spec.ts","",""
"","3986","MYM-30: Mentor configures communication channels @smoke @regression","chromium","2026-08-22","passed","2026-08-22","EPIC MYM-28: Session Management","mym-28-session-management.spec.ts","",""
